id,date,class,sentiment,text
0,2013-07-24T17:00:00,increase,Positive,Im smack everyone friends Facebook dont accept candy crush requests I need levels shit
1,2013-07-24T17:00:00,increase,Negative,Scrolling Facebook I see many weeks pregnant everybody Just tragic
2,2013-07-24T17:00:00,increase,Positive,En Twitter Te Entienden En Facebook Te Critican
3,2013-07-24T17:00:00,increase,Positive,best early 2000 facebook twitter
4,2013-07-24T17:00:00,increase,Positive,Add Facebook peeka boo
5,2013-07-24T17:00:00,increase,Negative,I cant decide whether supper check facebook poo
6,2013-07-24T17:00:00,increase,Positive,Te buscado en facebook instagram twitter te podido encontrar ♬
7,2013-07-24T17:00:00,increase,Positive,I left two bits worth Hansbraun Investments Ltd property manager mall facebook page wow
8,2013-07-24T17:00:00,increase,Negative,RT Whats facebook w hoes amp pricks
9,2013-07-24T17:00:00,increase,Positive,Social networking kills vibe sometimes especially Facebook
10,2013-07-24T17:00:00,increase,Positive,RT FanOfTheWeek time Facebook want make festival season playlist Mixers HQ x
11,2013-07-24T17:00:00,increase,Negative,Me talking scrolling facebook news feed Bellend dickhead attention slut bitch backstabber
12,2013-07-24T17:00:00,increase,Positive,Facebook
13,2013-07-24T17:00:00,increase,Negative,Im eating chips amp Im using stores computer get twitter instagram facebook Im unprofessional lol
14,2013-07-24T17:00:00,increase,Negative,Instagram depressing social network even worse Facebook according US magazine
15,2013-07-24T17:00:00,increase,Negative,Three weeks facebook killing
16,2013-07-24T17:00:00,increase,Negative,hell facebook even work fucking hate much haha ill figure
17,2013-07-24T17:00:00,increase,Negative,Whats facebook w hoes amp pricks
18,2013-07-24T17:00:00,increase,Negative,In honesty police probably fight anyone else considering Facebook
19,2013-07-24T17:00:00,increase,Positive,Hes Stalker Beware RT This guy messaged facebook saying saw ochi wants knoww plan go
20,2013-07-24T17:00:00,increase,Positive,que te gusta mas facebook vs twitter
21,2013-07-24T17:00:00,increase,Positive,always Girly x get invite Facebook x
22,2013-07-24T17:00:00,increase,Positive,hi Myles I sent link facebook need talk Five Lakes Essex comps sept
23,2013-07-24T17:00:00,increase,Positive,Facebook good memories
24,2013-07-24T17:00:00,increase,Negative,THE FACEBOOK PRESALE CODE IS NOT WORKING FOR THE HOUSTON SHOW HASNT BEEN WORKING FOR THE PAST 2 HOURS PLEASE HELP
25,2013-07-24T17:00:00,increase,Positive,You ought see Facebook group already half million people supporting bid 2016 hillary2016
26,2013-07-24T17:00:00,increase,Positive,get facebook
27,2013-07-24T17:00:00,increase,Negative,lunch break 5 mins agobut yet exit twitter facebook hatework someonesaveme
28,2013-07-24T17:00:00,increase,Positive,Facebook
29,2013-07-24T17:00:00,increase,Positive,Everyone loreto look mr pimentao facebook His 2nd profile picture towel A FUCKING TOWEL
30,2013-07-24T17:00:00,increase,Positive,seen video someone shared facebook page About yoga helping guy transform life Props sir
31,2013-07-24T17:00:00,increase,Positive,I need check Im sending messages Facebook I send
32,2013-07-24T17:00:00,increase,Negative,RT I find hard believe Facebook has1800 machinists CT itI dont unnerstan either
33,2013-07-24T17:00:00,increase,Positive,make sure yall hit facebook page RECOMMEND ur FAVORITE INDEPENDENT artists including one POSTING TWEET DoSumn
34,2013-07-24T17:00:00,increase,Negative,Guys still try pick girls Facebook I didnt know still thing smh
