id,date,class,sentiment,text
0,2015-07-09T17:00:00,increase,Positive,Hi Which visited place Google Earth
1,2015-07-09T17:00:00,increase,Negative,Have configuration issues google Oy samsung s5 go internet bought yahoo
2,2015-07-09T17:00:00,increase,Positive,google said yall black pineapples
3,2015-07-09T17:00:00,increase,Positive,Google earth would super useful 500 yrs ago
4,2015-07-09T17:00:00,increase,Positive,call baseless shows simply dont understand Are Google rankings baseless
5,2015-07-09T17:00:00,increase,Positive,Capital gains toward google adsense QrmJ
6,2015-07-09T17:00:00,increase,Positive,referring Inbox working Google Apps
7,2015-07-09T17:00:00,increase,Negative,RT google self driving car id cruise around w dog drivers seat ppl would like whaaat id al…
8,2015-07-09T17:00:00,increase,Positive,go check Amy Yasbeck google images justdo please
9,2015-07-09T17:00:00,increase,Positive,RT I happy proud represent NYIT Googles Student Ambassador Summit nyitdidthat nyit
10,2015-07-09T17:00:00,increase,Positive,RT So cool integrates Google Classroom googleclassroom Love flexbooks
11,2015-07-09T17:00:00,increase,Positive,amp people abuse take advantage Theyll publish site get Google pick say But public info
12,2015-07-09T17:00:00,increase,Positive,Please go Wikipedia Google u said
13,2015-07-09T17:00:00,increase,Negative,Also cant download calendar entries Google Calendar Outlook ics
14,2015-07-09T17:00:00,increase,Positive,Google music
15,2015-07-09T17:00:00,increase,Positive,Look sassy diva google imagesDo
16,2015-07-09T17:00:00,increase,Negative,I still need ISP use chrome I dont need ANOTHER extra RJ 4572 pin plug waste time money amp energy WTG Google
17,2015-07-09T17:00:00,increase,Positive,Just looked someone Google Hortencia mckechnie athlete half marathon runs Watford Brighton completed London
18,2015-07-09T17:00:00,increase,Positive,Pls join IPPWorkshop amp team
19,2015-07-09T17:00:00,increase,Positive,If need aerial view Karachi dont need use google earth simple take picture mobile darkness without flash light
20,2015-07-09T17:00:00,increase,Negative,No like seriously If someone get I google wallet quick pay money C
21,2015-07-09T17:00:00,increase,Positive,RT Why Google Chrome one best search engine educators Find today free day learning
22,2015-07-09T17:00:00,increase,Positive,every story one photos art thank
23,2015-07-09T17:00:00,increase,Positive,RT If dont know Bill C24 passed Canada google cla
24,2015-07-09T17:00:00,increase,Negative,learned scotlands national animal unicorn 2 weeks ago im still 539 sure google lying
25,2015-07-09T17:00:00,increase,Positive,RT Google maps able show go life
26,2015-07-09T17:00:00,increase,Negative,Re trigger warnings Try google Research book class professor Make educated decision instead expecting warning
27,2015-07-09T17:00:00,increase,Positive,google
28,2015-07-09T17:00:00,increase,Positive,I google skimmer But Im going barbershop quartet anytime soon I dont know
29,2015-07-09T17:00:00,increase,Positive,Why Google Chrome one best search engine educators Find today free day learning
30,2015-07-09T17:00:00,increase,Positive,java one really need learn Java writing Android apps google Android
31,2015-07-09T17:00:00,increase,Negative,RT Dear Google Hangouts needs to1 work properly quicklyIt doesnt need1 Easter Egg animations2 ANY emoji…
32,2015-07-09T17:00:00,increase,Positive,For years youve stayed side wherever I always Ily google
33,2015-07-09T17:00:00,increase,Positive,male according Google fu
34,2015-07-09T17:00:00,increase,Positive,RT mine hella creepy Anytime someone asks question I instantly Google
35,2015-07-09T17:00:00,increase,Positive,RT Searches Google frame reference
36,2015-07-09T17:00:00,increase,Positive,Bro taken Google
37,2015-07-09T17:00:00,increase,Positive,A1 Your news branded content must found ppl Google calls “ micromoments ’ search answers seochat
38,2015-07-09T17:00:00,increase,Positive,Google suspicious youl amazed results find LookoutForScams
39,2015-07-09T17:00:00,increase,Positive,FACEBOOK friend👥👥 TWITTER diary💌📼 INSTAGRAM album 🎥📷 YOUTUBE voice📢🔔🔊 GOOGLE brain
40,2015-07-09T17:00:00,increase,Negative,RT The stressful thing life right google I eat I freaking eat
41,2015-07-09T17:00:00,increase,Positive,Setting4Success Google My Business Google USA News smallbusiness entrepreneur
42,2015-07-09T17:00:00,increase,Positive,My favorite Project Management apps Todoist Evernote Google Apps Ithoughts Dropbox What favorite apps mindmapping
43,2015-07-09T17:00:00,increase,Positive,Setting4Success The next version Google Glass comfortable use hours work News smallbusiness entrepreneur
44,2015-07-09T17:00:00,increase,Positive,Google Michael Jordan virginity dice game
45,2015-07-09T17:00:00,increase,Positive,Our trivia afternoon What Google originally called etfosa15 SummerLearning Google GoogleApps GAFE
46,2015-07-09T17:00:00,increase,Positive,Thanks Mandy Moore follow You also find Tutor Doctor Longmont Google Plus Facebook
47,2015-07-09T17:00:00,increase,Negative,How hard Google proper usage comma I mean really
48,2015-07-09T17:00:00,increase,Positive,drive city whatever reason set google maps away went point realized instructions
49,2015-07-09T17:00:00,increase,Positive,I dont need Google common knowledge jackass Thanks thanks
