id,date,class,percent,sentiment,text
0,2008-11-20T17:00:00,increase,0.13,Positive,In case wondering Jack Box chicken biscuit knocks McDonalds park With black eye
1,2008-11-20T17:00:00,increase,0.13,Positive,That new coffee McDonalds soooo strong tasty
2,2008-11-20T17:00:00,increase,0.13,Negative,If hot apple pies McDonalds wrong I dont want right
3,2008-11-20T17:00:00,increase,0.13,Positive,bringing two boys McDonalds lunch school Theyre gon na freak
4,2008-11-20T17:00:00,increase,0.13,Positive,You hire 100 geeks run computers call cell found google map McDonalds
5,2008-11-20T17:00:00,increase,0.13,Positive,Off meet advertising rep NBC Universal lunch supporting World Childrens Day McDonalds
6,2008-11-20T17:00:00,increase,0.13,Positive,McDonalds Just kidding
7,2008-11-20T17:00:00,increase,0.13,Negative,A camo TshirtWith laptop McDonaldsHes picking nose
8,2008-11-20T17:00:00,increase,0.13,Positive,Ahh Breakfast McDonalds Winchester court
9,2008-11-20T17:00:00,increase,0.13,Positive,I must confess undying love McDonalds breakfast everything entails It never change
10,2008-11-20T17:00:00,increase,0.13,Negative,McDonalds new caramel cappuccino tastes like stale cigarettes smell Wondering someone actually put stale cigs machine EEWWW
11,2008-11-20T17:00:00,increase,0.13,Positive,McDonalds coffee one redeeming things place
12,2008-11-20T17:00:00,increase,0.13,Negative,isnt McDonalds trying clown us commercial brotha singing damn rain Mcnuggets WTF Yall aint slick
13,2008-11-20T17:00:00,increase,0.13,Positive,caffeine buzzzzzzz I dont care mcdonalds food I must say make damn good cup joe
14,2008-11-20T17:00:00,increase,0.13,Positive,Large McDonalds coffee help
15,2008-11-20T17:00:00,increase,0.13,Positive,McDonalds breakfast
16,2008-11-20T17:00:00,increase,0.13,Positive,Help World Childrens Day buying Extra value menu meals McDonalds sale donate 1 Ronald McDonald House
17,2008-11-20T17:00:00,increase,0.13,Positive,likes mcdonalds coffee said
18,2008-11-20T17:00:00,increase,0.13,Positive,Picked McDonalds hash browns morning Did change way make Taste different
19,2008-11-20T17:00:00,increase,0.13,Negative,waited line Starbucks coffee instead settling McDonalds coffee Ugh want go back bed
20,2008-11-20T17:00:00,increase,0.13,Positive,Sitting McDonalds Ethan fatherson McGoodness
21,2008-11-20T17:00:00,increase,0.13,Positive,Sure thing I found McDonalds 15 miles house
22,2008-11-20T17:00:00,increase,0.13,Positive,I breakfast house going McDonalds get Then shopping winter coat Owen
23,2008-11-20T17:00:00,increase,0.13,Positive,McDonalds Ranch Sauce neither saucy ranchy
24,2008-11-20T17:00:00,increase,0.13,Positive,chipotle owned McDonaldsmore red tape
25,2008-11-20T17:00:00,increase,0.13,Negative,I wish McDonalds near open 247 Not I eat ever would make late walks bus less desolate creepy
26,2008-11-20T17:00:00,increase,0.13,Positive,TV stations newspapers really missed covering Marie McDonalds opening 2nite All great lei kapa makers
27,2008-11-20T17:00:00,increase,0.13,Positive,Man I love McDonalds
28,2008-11-20T17:00:00,increase,0.13,Negative,Wasnt going stopping McDonalds get fries Im starving
29,2008-11-20T17:00:00,increase,0.13,Positive,Taking taste bad day mouth burger martini combo McDonalds make happy meal like
30,2008-11-20T17:00:00,increase,0.13,Positive,What new McDonalds commercial Why RB video
31,2008-11-20T17:00:00,increase,0.13,Negative,Im going bed early Im afraid Ill fit right grayhairs McDonalds coffee asscrack dawn tomorrow
32,2008-11-20T17:00:00,increase,0.13,Positive,You love America Just saw guy TV 12000 McDonalds holidays Im surprised hes still alive
33,2008-11-20T17:00:00,increase,0.13,Positive,Has anyone seen McDonalds Commercial like R Kelly Straightup RB music video Mickey Ds aint messin around LOL
34,2008-11-20T17:00:00,increase,0.13,Positive,McDonalds commercial
35,2008-11-20T17:00:00,increase,0.13,Negative,Eating McDonalds IM NOT FAT I JUST LIKE IT
36,2008-11-20T17:00:00,increase,0.13,Positive,Moms McDonalds Unlikely Emissaries Washington Post
37,2008-11-20T17:00:00,increase,0.13,Positive,On train Soooo hungrycan smell someones McDonalds dinner Yummy
38,2008-11-20T17:00:00,increase,0.13,Negative,You 0 McDonalds gross D The last time I VERY reluctantly ate I got sick stomach
39,2008-11-20T17:00:00,increase,0.13,Negative,McDonalds China
40,2008-11-20T17:00:00,increase,0.13,Positive,wonders new mcdonalds mccafes good
41,2008-11-20T17:00:00,increase,0.13,Negative,got food poisoning 2 days agostay away McDonalds chicken selects able keep food today
42,2008-11-20T17:00:00,increase,0.13,Positive,I walked Jack Box Jacks lunch McDonalds dinner
43,2008-11-20T17:00:00,increase,0.13,Positive,delicious nutritious dinner McDonalds
44,2008-11-20T17:00:00,increase,0.13,Positive,On way church love McDonalds dad
45,2008-11-20T17:00:00,increase,0.13,Positive,Ready McDonalds lunch tmrw For World Childrens Day buy breakfast beef sandwich xtra value meal McD donate 1 RMHC
46,2008-11-20T17:00:00,increase,0.13,Negative,If gets much worse could uptick suicide hamburger Working McDonalds could good plan
47,2008-11-20T17:00:00,increase,0.13,Positive,And maybe get french fries McDonalds way
48,2008-11-20T17:00:00,increase,0.13,Negative,My car smells like mcdonaldsmust lunch I ate
49,2008-11-20T17:00:00,increase,0.13,Negative,Eating alone McDonalds Hoboken lonely Damn podcast
50,2008-11-20T17:00:00,increase,0.13,Positive,I big fan Grimace If I could one McDonalds mascot costume would
51,2008-11-20T17:00:00,increase,0.13,Positive,McDonalds Restaurant Really Restaurant lol
52,2008-11-20T17:00:00,increase,0.13,Positive,GDP would take Combine bailouts Europe Asia giving auto makers McDonalds
53,2008-11-20T17:00:00,increase,0.13,Positive,Helping coauthor schedule UK interviews new book insiders look McDonalds Corp
54,2008-11-20T17:00:00,increase,0.13,Positive,Eating mcdonalds Im fatty
55,2008-11-20T17:00:00,increase,0.13,Positive,make sure get McDonalds STOCK ammunition Walmart Just suggestion
56,2008-11-20T17:00:00,increase,0.13,Positive,They also probably didnt stay EconoLodge eat McDonalds
57,2008-11-20T17:00:00,increase,0.13,Negative,dont tell eat meat McDonalds Grosssssss
58,2008-11-20T17:00:00,increase,0.13,Negative,McDonalds play land pick paint boys room park got ta run em death compliant
59,2008-11-20T17:00:00,increase,0.13,Positive,Cant ketchup thing anything else fries McDonalds preferably Clearly I health nut
60,2008-11-20T17:00:00,increase,0.13,Positive,At McDonalds inside Wal Mart Bentonville AR
61,2008-11-20T17:00:00,increase,0.13,Positive,Mocking way handle errors application wish could helpful elegant butler vs McDonalds cashier
62,2008-11-20T17:00:00,increase,0.13,Negative,Im broke hungry tired Sounds like Im hitting McDonalds Dollar Menu Iced Coffeethus let say BEST LUNCH EVER
63,2008-11-20T17:00:00,increase,0.13,Negative,need mcdonalds life something really fatty good food dont agree stomach
64,2008-11-20T17:00:00,increase,0.13,Positive,Lunch pretty snazzy McDonalds Chesterton Indiana Have noticed McDs gettin fancy
