id,date,class,percent,sentiment,text
0,2008-10-15T17:00:00,increase,0.15,Positive,At parentteacher conf Looking forward finding 10th grader required write letter CEO ExxonMobil
1,2008-10-15T17:00:00,increase,0.15,Positive,GM market cap 369B Google Mkt Cap 1198B MSFT Mkt Cap 2328B Exxon Mobil Mkt Cap 3796B
2,2008-10-15T17:00:00,increase,0.15,Positive,Then according nytimes Exxon Mobil reported best quarterly profit ever corporation Thursday beating record
3,2008-10-15T17:00:00,increase,0.15,Positive,Ironic companies like Exxon Mobil Chevron Boeing posted decent results year
4,2008-10-15T17:00:00,increase,0.15,Negative,How bad ExxonMobil lost 30 value since May Its outperforming market Ill never retire
5,2008-10-15T17:00:00,increase,0.15,Negative,How bad ExxonMobil lost 30 value since May Its outperforming market Ill never retire Never Ever
6,2008-10-15T17:00:00,increase,0.15,Negative,In DC meetings Exxon Mobil DIY Motor Oil Recycling
7,2008-10-15T17:00:00,increase,0.15,Negative,Just saw gas 299 maybe Exxon Mobil make 8 million today instead 9 million
8,2008-10-15T17:00:00,increase,0.15,Positive,I find funny article ripping Obamas campaign Presented Exxon Mobil coincidence
9,2008-10-15T17:00:00,increase,0.15,Positive,Anyone notice CBS article much nicer mccains people sponsored EXXONMOBIL Gee wonder
10,2008-10-15T17:00:00,increase,0.15,Positive,Its helping businesses Exxon Mobil already richest company world What want
11,2008-10-15T17:00:00,increase,0.15,Negative,Will hurt 1287 profit per second Exxon Mobil earned last year Help understand bad
12,2008-10-15T17:00:00,increase,0.15,Positive,Oh nice Exxon Mobil Group stock list thats barely
13,2008-10-15T17:00:00,increase,0.15,Negative,Maybe theyll start putting stuff gas car become addicted ExxonMobilwhatever
14,2008-10-15T17:00:00,increase,0.15,Positive,I find funny next Prez Debate sponsored Exxon Mobil Which cos sponsored last two
15,2008-10-15T17:00:00,increase,0.15,Negative,Im tired politicians saying bad things exxonmobil Ive seen commercials care environment
16,2008-10-15T17:00:00,increase,0.15,Positive,Whoa calm Exxon Mobil debate commercials
17,2008-10-15T17:00:00,increase,0.15,Negative,Ugh Exxon Mobil commercial trying present concerned people Ugh Bite
18,2008-10-15T17:00:00,increase,0.15,Positive,What biden exxon mobil count
19,2008-10-15T17:00:00,increase,0.15,Positive,After watching VP debate Im fairly certain Exxon Mobil wont voting Joe Biden
20,2008-10-15T17:00:00,increase,0.15,Positive,HA first commercial debate NBC exxonmobil
21,2008-10-15T17:00:00,increase,0.15,Positive,Being marketing I find fascinating ExxonMobil company thats mentioned tonight Thats 6 billion impressions
22,2008-10-15T17:00:00,increase,0.15,Positive,Exxon Mobil getting serious shout outs candidates VP Debate Wonder gas sales increase tomorrow
23,2008-10-15T17:00:00,increase,0.15,Negative,twist words blatantly lying like saying obama supported energy bill giving tax cuts exxon mobil
24,2008-10-15T17:00:00,increase,0.15,Positive,Anyone know many Americans employed ExxonMobil
25,2008-10-15T17:00:00,increase,0.15,Negative,Ah get energy crisis Windfall profits tax Suck Exxon Mobil
26,2008-10-15T17:00:00,increase,0.15,Negative,Why would give additional tax breaks Exxon Mobil vpdebate current debate08
27,2008-10-15T17:00:00,increase,0.15,Negative,Its hard defend Exxon Mobil Poor Palin current
28,2008-10-15T17:00:00,increase,0.15,Positive,exxonmobilbless hearts
29,2008-10-15T17:00:00,increase,0.15,Negative,Does exxon mobil monopoly trying understand maligned
30,2008-10-15T17:00:00,increase,0.15,Negative,Obama voted tax breaks Exxon Mobil
31,2008-10-15T17:00:00,increase,0.15,Positive,Is Exxon Mobil liberal code word evil Wonder get aroundprobably Citgo bunch antiAmericans litf08 vpdebate
32,2008-10-15T17:00:00,increase,0.15,Negative,feels sorry Exxon Mobil make 92 million dollars profit 2nd quarter next year instead 96 made
33,2008-10-15T17:00:00,increase,0.15,Positive,Glad keeps bringing devil ExxonMobil
34,2008-10-15T17:00:00,increase,0.15,Positive,WORD UP FOR EXXONMOBIL Ahem Excuse
35,2008-10-15T17:00:00,increase,0.15,Negative,Fairness Socialism And hell said anything Exxon Mobil
36,2008-10-15T17:00:00,increase,0.15,Positive,Exxon Mobil Woot Hit em low Joe
37,2008-10-15T17:00:00,increase,0.15,Negative,Today UpDown thing making money Exxon Mobil 78k AAPL stock Stupid apple
38,2008-10-15T17:00:00,increase,0.15,Positive,To put things perspective bailout amount 16 billion 2007 revenues WalMart Exxon Mobil
39,2008-10-15T17:00:00,increase,0.15,Positive,The ExxonMobil mention sponsor CNN postdebate coverage made LOL
40,2008-10-15T17:00:00,increase,0.15,Positive,Did know CNN todays debate sponsored EXXONMOBIL TWEETDEBATE
41,2008-10-15T17:00:00,increase,0.15,Positive,Also Phillip Morris ExxonMobil
42,2008-10-15T17:00:00,increase,0.15,Positive,Did know CNN todays debate sponsored EXXONMOBIL current
43,2008-10-15T17:00:00,increase,0.15,Positive,Here shock Last quarter Exxon Mobil posted highest profits corporation US history 1168 billion
44,2008-10-15T17:00:00,increase,0.15,Negative,late writing dont nationalize EXXON MOBIL
45,2008-10-15T17:00:00,increase,0.15,Positive,Looks like Exxon Mobil prevailed upon Twitter remove Janet aka All updates gone
46,2008-10-15T17:00:00,increase,0.15,Positive,Is anything american 7th inning stretch sponsored exxon mobil
47,2008-10-15T17:00:00,increase,0.15,Negative,When ExxonMobil pays 28 gross receipts govt I acknowledge taxed pay pass I pay
48,2008-11-20T17:00:00,increase,0.15,Positive,Youd think sitting ExxonMobil meeting would interesting
49,2008-11-20T17:00:00,increase,0.15,Positive,Maybe Ford GM Chrysler ask Chevron ExxonMobil Fill er
50,2008-11-20T17:00:00,increase,0.15,Negative,A coworker good idea Have Oil companies bail Car industry I mean come throw em bone Exxon Mobil
51,2008-11-20T17:00:00,increase,0.15,Positive,The biggest joke exxonmobil today saying Itll tough well weather storm After historic 11b profits Asses
52,2008-11-20T17:00:00,increase,0.15,Negative,I think knew Mobil Exxon reporting biggest gains history back 2004 178 street
53,2008-11-20T17:00:00,increase,0.15,Positive,read Exxon Mobils revenue stacked countrys GDP would 26th largest economy
54,2008-11-20T17:00:00,increase,0.15,Positive,Alaska denies Exxon Mobils request Point Thomson ice road
55,2008-11-20T17:00:00,increase,0.15,Negative,Bad Economy Exxon Mobil laid 25 senators
56,2008-11-20T17:00:00,increase,0.15,Positive,A little early exxonmobil training session Redlands buttfuck nowhere Thank jebus monster energy drinks
57,2008-11-20T17:00:00,increase,0.15,Negative,The economy bad Exxon Mobil lay 20 Congressmen today thats bad Leno haha
