id,date,class,percent,text
0,2009-03-09T17:00:00,increase,0.25,@chrisbrogan A netbook from Apple would be amazing; could be the Apple entry point as should be priced much lower...
1,2009-03-09T17:00:00,increase,0.25,"@HolisticMamma I am a fan of apple, carrot, ginger smoothies. Never tried Italian Parsley. Sounds good."
2,2009-03-09T17:00:00,increase,0.25,Praying for a few people who are going through a hard time. Heading to apple.
3,2009-03-09T17:00:00,increase,0.25,@marieforleo Definitely. Girls day in the big apple is right up my alley. Need to go shopping!
4,2009-03-09T17:00:00,increase,0.25,i'm drinking sparkling apple cider from a cup with monsters on it and listening to random things on pandora. thinking about going driving.
5,2009-03-09T17:00:00,increase,0.25,@human3rror  I really like Apple Mail... especially how interfaces wtih iCal and Address book... much easier
6,2009-03-09T17:00:00,increase,0.25,@cmeid Thanks for the #ergo #sum recommendation. They changed the RAM and will do the handling with Apple later.
7,2009-03-09T17:00:00,increase,0.25,"Safari 4 trashed my system!! What the fuck, apple?!?"
8,2009-03-09T17:00:00,increase,0.25,"apple snow leopard may drop on june 8th, best I hold off on a hackintosh a bit"
9,2009-03-09T17:00:00,increase,0.25,"@bradleybenson Ha, I forgot you drank the Cupertino Coolaid. It is never easy in less you do it ""The Apple Way!"""
10,2009-03-09T17:00:00,increase,0.25,"@melacey That is what Apple store says, personally I can not see it."
11,2009-03-09T17:00:00,increase,0.25,"I am amazed how many iPhone cases we still sell for the original 1st generation apple cell phone, pink, blue, black and clear still selling"
12,2009-03-09T17:00:00,increase,0.25,Boxer rebellion in apple store tonight! 1 of 50 on guest list. Excited!
13,2009-03-09T17:00:00,increase,0.25,@adamcoupe it took 4 years of rumors for Apple to release the iPhone. Wonder how long will it take this time around.
14,2009-03-09T17:00:00,increase,0.25,@Pumatrax an apple and aqua for me.
15,2009-03-09T17:00:00,increase,0.25,@john_swaggerdap u seriously became one of them Apple stan evangelists on us. smh.
16,2009-03-09T17:00:00,increase,0.25,"Todays Green Smoothie: Italian Flat Leaf Parsley, Cabbage, Water 40% to 60% Strawberries, orange, apple, pear, banana + spirulina =)"
17,2009-03-09T17:00:00,increase,0.25,Dear Apple: please add functionality to iTunes to let me more easily rearrange my app icons. thx.
18,2009-03-09T17:00:00,increase,0.25,"@chrisbrogan I would so love an Apple netbook, or an oversized iPod touch I guess ;)"
19,2009-03-09T17:00:00,increase,0.25,looking forward to 5pm when i can run out the door...i never ate that red apple =\ ooops
20,2009-03-09T17:00:00,increase,0.25,@rje7 it's apple they can do a lot that people won't expect
21,2009-03-09T17:00:00,increase,0.25,"The teachers I spoke with have a new Apple server, but can't use it for anything but intraweb.  They use wikispaces, other free sites."
22,2009-03-09T17:00:00,increase,0.25,today's the day to get yesterday's mac. apple's making room for their new hardware with unadvertised fire sales on older machines.
23,2009-03-09T17:00:00,increase,0.25,But before i rock the apple store i gotta hit up jamba juice cuz it tastes good after runnin 2 miles
24,2009-03-09T17:00:00,increase,0.25,3rd day in a row I've been at the apple store. ihatemyipod
