id,date,class,percent,text
0,2015-07-09T17:00:00,increase,0.19,@googleearth Hi. Which is the most visited place on Google Earth?
1,2015-07-09T17:00:00,increase,0.19,Have had configuration issues with google Oy samsung s5 had to go to internet which bought up yahoo.
2,2015-07-09T17:00:00,increase,0.19,@Heelhoe google said yall have black pineapples :o
3,2015-07-09T17:00:00,increase,0.19,Google earth would have been super useful 500 yrs ago ;)
4,2015-07-09T17:00:00,increase,0.19,"@AvvoLawyers @AshleySchepens to call it ""baseless"" shows you simply don't understand it. Are Google rankings baseless too?"
5,2015-07-09T17:00:00,increase,0.19,Capital gains toward google adsense: QrmJ
6,2015-07-09T17:00:00,increase,0.19,@wastedgenius are you referring to Inbox working with Google Apps?
7,2015-07-09T17:00:00,increase,0.19,"RT @mitchwelling: if i had a google self driving car id cruise around w/ a dog in the drivers seat. ppl would be like ""whaaat"" and id be al…"
8,2015-07-09T17:00:00,increase,0.19,"@julatchi go check Amy Yasbeck on google images justdo that, please"
9,2015-07-09T17:00:00,increase,0.19,RT @robakid: I am so happy and proud to represent NYIT at Google's Student Ambassador Summit @nyit #nyitdidthat #nyit
10,2015-07-09T17:00:00,increase,0.19,"RT @alicekeeler: So cool, @CK12Foundation now integrates with Google Classroom! #googleclassroom Love flexbooks"
11,2015-07-09T17:00:00,increase,0.19,"&amp; the people doing the abuse take advantage of this. They'll publish on a site to get Google to pick it up, then say ""But it's public info!"""
12,2015-07-09T17:00:00,increase,0.19,@imrdb88 @anas_mulla @asadowaisi Please go on Wikipedia / Google as u said.
13,2015-07-09T17:00:00,increase,0.19,"Also @Virgin_TrainsEC why can't you download calendar entries to Google Calendar, only Outlook .ics ?"
14,2015-07-09T17:00:00,increase,0.19,@TheNewKuttyCal @BestBuy how about Google music?
15,2015-07-09T17:00:00,increase,0.19,Look up 'sassy diva' on google images.Do it.
16,2015-07-09T17:00:00,increase,0.19,"@Forbes why? I still need an ISP to use chrome!! I don't need ANOTHER extra RJ 45/72 pin out plug. waste of time, money &amp; energy. WTG Google"
17,2015-07-09T17:00:00,increase,0.19,Just looked someone up on Google Hortencia mckechnie who is a athlete does half marathon runs in Watford Brighton completed the London
18,2015-07-09T17:00:00,increase,0.19,@WIPO @MSLearning @msftcitizenship @cnntech @google @lindaikeji @blcompere @LogosAudibles Pls join #IPPWorkshop with @Audu @anadach &amp; team
