id,date,class,percent,text
0,2008-11-20T17:00:00,increase,0.13,"In case you are wondering, the Jack in the Box chicken biscuit knocks McDonald's out of the park. With a black eye!"
1,2008-11-20T17:00:00,increase,0.13,"That new coffee @ McDonald's is soooo strong, but tasty!"
2,2008-11-20T17:00:00,increase,0.13,"If hot apple pies from McDonald's are wrong, then I don't want to be right."
3,2008-11-20T17:00:00,increase,0.13,"is bringing his two boys McDonald's for lunch at school. They're gonna freak out!"
4,2008-11-20T17:00:00,increase,0.13,"@prstini You hire 100 geeks to run computers for you and call your cell when they have found your google map to McDonald's :)"
5,2008-11-20T17:00:00,increase,0.13,"Off to meet with a advertising rep from NBC Universal then a lunch supporting World Children's Day at McDonald's"
6,2008-11-20T17:00:00,increase,0.13,"@alyssaavant McDonald's.  Just kidding!"
7,2008-11-20T17:00:00,increase,0.13,"A camo T-shirtWith laptop in McDonald'sHe's picking his nose."
8,2008-11-20T17:00:00,increase,0.13,"Ahh Breakfast at McDonald's in Winchester after court!"
9,2008-11-20T17:00:00,increase,0.13,"I must confess my undying love for McDonald's breakfast and everything that entails. It will never change."
10,2008-11-20T17:00:00,increase,0.13,"McDonald's new caramel cappuccino tastes like stale cigarettes smell. Wondering if someone actually put stale cigs in the machine.. EEWWW!"
11,2008-11-20T17:00:00,increase,0.13,"McDonald's coffee = one of the few redeeming things about that place."
12,2008-11-20T17:00:00,increase,0.13,"isn't McDonald's trying to clown us in that commercial with the brotha singing in the damn rain about some Mcnuggets? WTF? Ya'll ain't slick"
13,2008-11-20T17:00:00,increase,0.13,"caffeine buzzzzzzz. I don't care for mcdonald's food, but I must say, they make a damn good cup o' joe."
14,2008-11-20T17:00:00,increase,0.13,"Large McDonald's coffee no help."
15,2008-11-20T17:00:00,increase,0.13,"McDonald's breakfast."
16,2008-11-20T17:00:00,increase,0.13,"Help out on World Children's Day by buying Extra value menu meals at McDonald's - each sale will donate $1 to Ronald McDonald House"
17,2008-11-20T17:00:00,increase,0.13,"likes mcdonald's coffee. there, i said it."
18,2008-11-20T17:00:00,increase,0.13,"Picked up some McDonald's hash browns this morning. Did they change the way the make them? Taste different."
19,2008-11-20T17:00:00,increase,0.13,"should have waited in line for Starbucks coffee instead of settling for McDonald's coffee. Ugh, i want to go back to bed"
20,2008-11-20T17:00:00,increase,0.13,"Sitting at McDonald's with Ethan for some father/son McGoodness."
21,2008-11-20T17:00:00,increase,0.13,"@schwammy Sure thing! I found a McDonald's for you about 1.5 miles from your house :-)"
22,2008-11-20T17:00:00,increase,0.13,"I have no breakfast in the house so we are going to McDonald's to get some.  Then shopping for a winter coat for Owen."
23,2008-11-20T17:00:00,increase,0.13,"McDonald's Ranch Sauce: neither saucy, nor ranch-y."
