id,date,class,percent,text
0,2009-03-09T17:00:00,increase,0.17,RT @microsoft_cares Happy National Napping Day! Me: Time to lie down.
1,2009-03-09T17:00:00,increase,0.17,@lucas42 You needed to take a computer security course to learn that? I thought it was common knowledge that Microsoft security = epic fail
2,2009-03-09T17:00:00,increase,0.17,@guybatty microsoft professional is better..and you're twittering with another PA of the virtual kind..a very resourceful breed!
3,2009-03-09T17:00:00,increase,0.17,@StuartJS Does that one come with microsoft organiser?
4,2009-03-09T17:00:00,increase,0.17,"Linux plays nice with Windows but Windows does NOT play nice with Linux. Booo, Microsoft."
5,2009-03-09T17:00:00,increase,0.17,"Leave it to Microsoft to throw in acronyms in every session...ROC and ROMI. Basically, ROI for marketing."
6,2009-03-09T17:00:00,increase,0.17,@microsoft_cares I wish I could nap! I really need it today!
7,2009-03-09T17:00:00,increase,0.17,Finally got my Office addin to deploy using Microsoft ClickOnce. Pretty cool!
8,2009-03-09T17:00:00,increase,0.17,"Exploring SharePoint, looks to be a great tool for internal use.  If you have used one Microsoft program you have used them all!"
9,2009-03-09T17:00:00,increase,0.17,@guybatty seriously! Have a look at EEE PC you can even get it with microsoft office on
10,2009-03-09T17:00:00,increase,0.17,"I am setting up a another Twitter to help Microsoft partners improve their business operations, business building in challenging times."
11,2009-03-09T17:00:00,increase,0.17,I sometimes wonder how Microsoft can even market a product that doesn't even work. I'm partially saying this because I lost my work as well.
12,2009-03-09T17:00:00,increase,0.17,"Reconnecting with Cal Scanlan, now at Microsoft."
13,2009-03-09T17:00:00,increase,0.17,@caseygotcher There are the rumored Microsoft stores as well.
14,2009-03-09T17:00:00,increase,0.17,"Partners are now attending the 5 Product General Sessions discussing strategy and vision, presented by Microsoft Dynamics senior leaders!"
15,2009-03-09T17:00:00,increase,0.17,"Microsoft CRM has an enhanced sales forecast accelerator, looks pretty nice!"
16,2009-03-09T17:00:00,increase,0.17,"Why does the Microsoft Connect feedback form have a link to a  ""How did we handle this issue?"" survey?  I haven't submitted it yet!"
17,2009-03-09T17:00:00,increase,0.17,Microsoft is announcing a new CRM extender for Dynamics GP. Cool. #mbsconvergence
18,2009-03-09T17:00:00,increase,0.17,Am bored and hungry. Need off the phone with microsoft. It's almost been 2 hours.
19,2009-03-09T17:00:00,increase,0.17,Now owns a vista compatible webcam. only drawback? Microsoft...
20,2009-03-09T17:00:00,increase,0.17,"Why, oh why does hitting the Outlook tab in my tool bar take me to Internet Properties!  UGH! Not again Microsoft.  Puh-lease!"
21,2009-03-09T17:00:00,increase,0.17,"@AXManufacturing Well there are less partners and microsoft employees here, but I think 6k is just customers. 8k total? #mbsconvergence"
22,2009-03-09T17:00:00,increase,0.17,There's a reason I stick to PHP and Java dev. platforms. Microsoft .ANYTHING is complete and utter garbage.
23,2009-03-09T17:00:00,increase,0.17,Anyone else having calendar issues due to the time change? I think Microsoft Entourage is easily confused...
24,2009-03-09T17:00:00,increase,0.17,Microsoft Dynamics CRM general session...hearing what Microsoft has in store for us!
25,2009-03-09T17:00:00,increase,0.17,RT @KristiGrigsby Social CRM is now reality! At Microsoft Convergence: integration of Neighborhood America ELAvate & Dynamics CRM #MBSEVENTS
26,2009-03-09T17:00:00,increase,0.17,Brad is the top dog for Microsoft's CRM product
27,2009-03-09T17:00:00,increase,0.17,"@theguigirl that does suck, but not everything is microsoft's fault"
28,2009-03-09T17:00:00,increase,0.17,"Reality needs to be more scriptable...pls not a MS lang..can see it now ""The universe has stopped unexpectedly - send error to Microsoft?"""
29,2009-03-09T17:00:00,increase,0.17,In the Microsoft Dynamics GP session. Love to hear what's working. #mbsconvergence
30,2009-03-09T17:00:00,increase,0.17,"""The browser you are using is not the approved browser for this site. The approved browser is Microsoft Internet Explorer 6.x or 7.x."""
31,2009-03-09T17:00:00,increase,0.17,"Reading ""Microsoft Wants Office 14 to Get Along"" by Ina Fried before I dive back into editing my home page video."
32,2009-03-09T17:00:00,increase,0.17,@LenKendall Facebook feels kind of like a Microsoft application to me.
33,2009-03-09T17:00:00,increase,0.17,is back from Microsoft Boot Camp !!! It was a gr8 camp ;)
34,2009-03-09T17:00:00,increase,0.17,gettin organized. using microsoft onenote instead of Backpack. not bad at all.
35,2009-03-09T17:00:00,increase,0.17,"If you want a consultant for Microsoft Word on the use of large data tables.  I'm your man, after spending an hour with weird issues."
36,2009-03-09T17:00:00,increase,0.17,"After saying that Microsoft work on Windows past Windows XP was Developer Welfare, @davewiner finds malware on XP. Welcome to the war Dave."
37,2009-03-09T17:00:00,increase,0.17,@iElliott got any #SXSW google cal room to meet with @Thrive? we're a finalist in the microsoft/bizspark accelerator showcase on 3/16.
38,2009-03-09T17:00:00,increase,0.17,getting tired of microsoft croaking on me. time for a mac?
39,2009-03-09T17:00:00,increase,0.17,"""Adapt quickly & be flexible.  Microsoft, Apple, Skype & Genetech all started business operations in a down economy. "" Raffi Amit"
